TERM,SCHOOL,DEPARTMENT,SUBJ,COURSE,SECTION,CRN,TITLE,TYPE,CREDITS,INSTRUCTOR.NAME.S.,SECT.MAX,SECT.ENRL,UG.SECT.ENRL,UP.SECT.ENRL,GR.SECT.ENRL,VS.SECT.ENRL,VU.SECT.ENRL,VG.SECT.ENRL,XLST.GROUP,XLST.MAX,XLST.ENRL,TTL.ENRL,TTL.SEATS.AVAIL,XLST.WITH,XLST.CRN,XLST.LEAD.DEPT,HAS_SYLLABUS,TERM_num
25_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",SPAN,158,1,12831,INTRO LATIN AMERICAN STUDIES,LEC,3,"Castro, Azucena",28,3,3,0,0,0,0,0,F6,28,26,26,2,LALX 158 001,12722,"Modern Classic Lang, Lit, Cult",Y,9
22_1,School of Humanities and Arts,Philosophy,PHIL,160,1,23836,MORAL PROBLEMS,LEC,3,"Sher, George",30,17,17,0,0,0,0,0,,,NA,17,13,,,,Y,2
22_2,School of Humanities and Arts,Philosophy,PHIL,160,1,14053,MORAL PROBLEMS,LEC,3,"Sher, George",30,30,30,0,0,0,0,0,,,NA,30,0,,,,Y,3
23_1,School of Humanities and Arts,Philosophy,PHIL,160,1,22477,MORAL PROBLEMS,LEC,3,"Zhang, Wan",26,15,15,0,0,0,0,0,,,NA,15,11,,,,Y,4
23_2,School of Humanities and Arts,Philosophy,PHIL,160,1,14053,MORAL PROBLEMS,LEC,3,"Sher, George",40,29,29,0,0,0,0,0,,,NA,29,11,,,,Y,5
24_1,School of Humanities and Arts,Art,ARTS,160,1,25522,SCULPT & PERFORM,STU,3,"Mays, Devin T.",10,8,8,0,0,0,0,0,,,NA,8,2,,,,Y,6
24_2,School of Humanities and Arts,Art,ARTS,160,1,16724,SCULPT & PERFORM,STU,3,"Mays, Devin T.",8,7,6,0,1,0,0,0,,,NA,7,1,,,,Y,7
24_2,School of Humanities and Arts,Philosophy,PHIL,160,2,16617,MORAL PROBLEMS,LEC,3,"Zhang, Wan",35,19,19,0,0,0,0,0,,,NA,19,16,,,,Y,7
25_1,School of Humanities and Arts,Art,ARTS,160,1,25522,SCULPT & PERFORM,STU,3,"Mays, Devin T.",10,9,9,0,0,0,0,0,,,NA,9,1,,,,Y,8
25_1,School of Humanities and Arts,Philosophy,PHIL,160,1,26761,MORAL PROBLEMS,LEC,3,"Mo, Weiwei",25,8,8,0,0,0,0,0,,,NA,8,17,,,,Y,8
25_2,School of Humanities and Arts,Art,ARTS,160,1,13668,SCULPT & PERFORM,STU,3,"Mays, Devin T.",15,7,7,0,0,0,0,0,,,NA,7,8,,,,N,9
25_2,School of Humanities and Arts,Philosophy,PHIL,160,3,14460,MORAL PROBLEMS,LEC,3,"Berg, Amy",25,21,21,0,0,0,0,0,,,NA,21,4,,,,Y,9
21_2,School of Humanities and Arts,Art,ARTS,165,1,10682,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",12,13,13,0,0,0,0,0,,,NA,13,-1,,,,Y,1
21_2,School of Humanities and Arts,Art,ARTS,165,2,10773,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",12,15,15,0,0,0,0,0,,,NA,15,-3,,,,Y,1
22_1,School of Humanities and Arts,Art,ARTS,165,1,25273,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",11,12,12,0,0,0,0,0,,,NA,12,-1,,,,Y,2
22_2,School of Humanities and Arts,Art,ARTS,165,1,10611,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",8,14,13,0,1,0,0,0,,,NA,14,-6,,,,Y,3
22_2,School of Humanities and Arts,Art,ARTS,165,3,14776,BEGINNING SCULPTURE,LL,3,"Mays, Devin T.",12,14,13,0,0,0,1,0,,,NA,14,-2,,,,Y,3
23_1,School of Humanities and Arts,Art,ARTS,165,1,23049,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",10,14,14,0,0,0,0,0,,,NA,14,-4,,,,Y,4
23_1,School of Humanities and Arts,Art,ARTS,165,2,24007,BEGINNING SCULPTURE,LL,3,"Mays, Devin T.",10,15,15,0,0,0,0,0,,,NA,15,-5,,,,Y,4
23_2,School of Humanities and Arts,Art,ARTS,165,1,10611,BEGINNING SCULPTURE,LL,3,"Tam, Kenneth",10,10,9,0,1,0,0,0,,,NA,10,0,,,,Y,5
23_2,School of Humanities and Arts,Art,ARTS,165,2,14776,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",10,16,16,0,0,0,0,0,,,NA,16,-6,,,,Y,5
24_1,School of Humanities and Arts,Art,ARTS,165,1,25388,BEGINNING SCULPTURE,LL,3,"Bernstein, Joshua",10,16,16,0,0,0,0,0,,,NA,16,-6,,,,Y,6
24_2,School of Humanities and Arts,Art,ARTS,165,1,10611,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",10,10,10,0,0,0,0,0,,,NA,10,0,,,,Y,7
24_2,School of Humanities and Arts,Art,ARTS,165,2,14776,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",10,10,10,0,0,0,0,0,,,NA,10,0,,,,Y,7
25_1,School of Humanities and Arts,Art,ARTS,165,1,25388,BEGINNING SCULPTURE,LL,3,"Tam, Kenneth",10,10,10,0,0,0,0,0,,,NA,10,0,,,,Y,8
25_1,School of Humanities and Arts,Art,ARTS,165,2,26140,BEGINNING SCULPTURE,LL,3,"Lapinski, Lisa",10,10,10,0,0,0,0,0,,,NA,10,0,,,,Y,8
25_2,School of Humanities and Arts,Art,ARTS,165,1,10489,BEGINNING SCULPTURE,LL,3,"Bernstein, Joshua",15,13,13,0,0,0,0,0,,,NA,13,2,,,,Y,9
25_2,School of Humanities and Arts,Art,ARTS,165,2,12799,BEGINNING SCULPTURE,LL,3,"Tam, Kenneth",15,9,9,0,0,0,0,0,,,NA,9,6,,,,Y,9
23_1,School of Humanities and Arts,English and Creative Writing,ENGL,175,1,23880,GLOBAL LITERATURES IN English and Creative Writing,LEC,3,"Joseph, Betty",25,4,4,0,0,0,0,0,,,NA,4,21,,,,Y,4
22_1,School of Humanities and Arts,Art,FILM,180,1,21676,14 FILMS BEFORE YOU GRADUATE,SEM,4,"Brennan, Marcia G.",12,6,6,0,0,0,0,0,O9,12,11,11,1,HART 180 001,21675,Art History,Y,2
22_1,School of Humanities and Arts,Art History,HART,180,1,21675,14 FILMS BEFORE YOU GRADUATE,SEM,4,"Brennan, Marcia G.",12,5,5,0,0,0,0,0,O9,12,11,11,1,FILM 180 001,21676,Art History,Y,2
23_1,School of Humanities and Arts,Art,FILM,180,1,21290,14 FILMS BEFORE YOU GRADUATE,SEM,4,"Brennan, Marcia G.",12,8,8,0,0,0,0,0,O9,12,8,8,4,HART 180 001,21289,Art History,Y,4
24_1,School of Humanities and Arts,Art,FILM,180,1,21290,14 FILMS BEFORE YOU GRADUATE,SEM,4,"Brennan, Marcia G.",12,5,5,0,0,0,0,0,O9,12,8,8,4,HART 180 001,21289,Art History,Y,6
24_1,School of Humanities and Arts,Art History,HART,180,1,21289,14 FILMS BEFORE YOU GRADUATE,SEM,4,"Brennan, Marcia G.",12,3,3,0,0,0,0,0,O9,12,8,8,4,FILM 180 001,21290,Art History,Y,6
21_2,School of Humanities and Arts,African & African Amer Studies,AAAS,200,1,13299,INTRO TO AAAS,LEC,3,"Byrd, Alexander X.",99,63,63,0,0,0,0,0,,,NA,63,36,,,,Y,1
21_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,3,14232,GATEWAYS TO LITERARY STUDY,SEM,3,"Castroman, Margarita M.",20,18,18,0,0,0,0,0,,,NA,18,2,,,,Y,1
21_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,4,14238,GATEWAYS TO LITERARY STUDY,SEM,3,"Joseph, Betty",20,18,18,0,0,0,0,0,,,NA,18,2,,,,Y,1
22_1,School of Humanities and Arts,English and Creative Writing,ENGL,200,1,22202,GATEWAYS TO LITERARY STUDY,SEM,3,"Ellenzweig, Sarah",20,10,10,0,0,0,0,0,,,NA,10,10,,,,Y,2
22_1,School of Humanities and Arts,English and Creative Writing,ENGL,200,2,20228,GATEWAYS TO LITERARY STUDY,SEM,3,"Regier, Alexander",20,11,11,0,0,0,0,0,,,NA,11,9,,,,Y,2
22_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,1,13338,GATEWAYS TO LITERARY STUDY,SEM,3,"Browning, Logan D.",18,16,16,0,0,0,0,0,,,NA,16,2,,,,Y,3
22_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,2,13344,GATEWAYS TO LITERARY STUDY,SEM,3,"Castroman, Margarita M.",18,13,13,0,0,0,0,0,,,NA,13,5,,,,Y,3
22_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,3,14741,GATEWAYS TO LITERARY STUDY,SEM,3,"Waligora-Davis, Nicole A.",20,8,8,0,0,0,0,0,,,NA,8,12,,,,Y,3
23_1,School of Humanities and Arts,African & African Amer Studies,AAAS,200,1,24754,INTRO TO AAAS,LEC,3,"Byrd, Alexander X.",60,13,12,0,0,0,0,1,,,NA,13,47,,,,Y,4
23_1,School of Humanities and Arts,English and Creative Writing,ENGL,200,1,21665,GATEWAYS TO LITERARY STUDY,SEM,3,"Morton, Timothy",25,10,10,0,0,0,0,0,,,NA,10,15,,,,Y,4
23_1,School of Humanities and Arts,English and Creative Writing,ENGL,200,2,20171,GATEWAYS TO LITERARY STUDY,SEM,3,"Regier, Alexander",25,10,10,0,0,0,0,0,,,NA,10,15,,,,Y,4
23_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,1,13338,GATEWAYS TO LITERARY STUDY,SEM,3,"Ellenzweig, Sarah",20,18,18,0,0,0,0,0,,,NA,18,2,,,,Y,5
23_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,2,15281,GATEWAYS TO LITERARY STUDY,SEM,3,"Turner, Merrill E.",20,19,19,0,0,0,0,0,,,NA,19,1,,,,Y,5
24_1,School of Humanities and Arts,African & African Amer Studies,AAAS,200,1,24754,INTRO TO AAAS,LEC,3,"Estrella, Amarilys",25,19,19,0,0,0,0,0,,,NA,19,6,,,,N,6
24_1,School of Humanities and Arts,English and Creative Writing,ENGL,200,1,21665,GATEWAYS TO LITERARY STUDY,SEM,3,"Morton, Timothy",20,17,17,0,0,0,0,0,,,NA,17,3,,,,Y,6
24_1,School of Humanities and Arts,English and Creative Writing,ENGL,200,2,20171,GATEWAYS TO LITERARY STUDY,SEM,3,"Joseph, Betty",20,15,15,0,0,0,0,0,,,NA,15,5,,,,Y,6
24_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,1,13338,GATEWAYS TO LITERARY STUDY,SEM,3,"Williamson, Clinton",16,4,4,0,0,0,0,0,,,NA,4,12,,,,Y,7
24_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,2,15281,GATEWAYS TO LITERARY STUDY,SEM,3,"Morton, Timothy",16,14,13,0,0,0,1,0,,,NA,14,2,,,,Y,7
24_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,3,16906,GATEWAYS TO LITERARY STUDY,SEM,3,"Derrick, Scott S.",16,13,13,0,0,0,0,0,,,NA,13,3,,,,Y,7
24_2,School of Humanities and Arts,Museums and Cultural Heritage,MUCH,200,1,16914,ARTS IN THE PROFESSIONAL WORLD,SEM,3,"Regier, Franziska",15,3,2,0,0,0,1,0,,,NA,3,12,,,,Y,7
24_2,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,200,1,16679,THEORIZING SEXUALITY & GENDER,LEC,3,"Brake, Elizabeth E.",25,9,9,0,0,0,0,0,,,NA,9,16,,,,Y,7
25_1,School of Humanities and Arts,African & African Amer Studies,AAAS,200,1,24754,INTRO TO AAAS,LEC,3,"Estrella, Amarilys",25,24,24,0,0,0,0,0,,,NA,24,1,,,,N,8
25_1,School of Humanities and Arts,English and Creative Writing,ENGL,200,1,21665,GATEWAYS TO LITERARY STUDY,SEM,3,"Regier, Alexander",16,10,10,0,0,0,0,0,,,NA,10,6,,,,Y,8
25_1,School of Humanities and Arts,English and Creative Writing,ENGL,200,2,20171,GATEWAYS TO LITERARY STUDY,SEM,3,"Aranda, Jose F.",16,11,11,0,0,0,0,0,,,NA,11,5,,,,Y,8
25_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,5,14661,GATEWAYS TO LITERARY STUDY,SEM,3,"Castroman, Margarita M.",16,14,14,0,0,0,0,0,,,NA,14,2,,,,Y,9
25_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,6,14662,GATEWAYS TO LITERARY STUDY,SEM,3,"Houlik-Ritchey, Emily M.",16,15,15,0,0,0,0,0,,,NA,15,1,,,,Y,9
25_2,School of Humanities and Arts,English and Creative Writing,ENGL,200,7,14663,GATEWAYS TO LITERARY STUDY,SEM,3,"Kraebel, Andrew",16,7,7,0,0,0,0,0,,,NA,7,9,,,,Y,9
21_2,School of Humanities and Arts,Cinema and Media Studies,CMST,201,901,13791,HISTORY OF CINEMA AND MEDIA I,SEM,3,"Blumenthal-Barby, Martin",25,16,16,0,0,0,0,0,B3,25,17,17,8,GERM 280 901,13790,"Modern Classic Lang, Lit, Cult",Y,1
21_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,201,901,11057,INTERMEDIATE GREEK I: PROSE,LEC,3,"Mackie, Hilary S.",19,5,5,0,0,0,0,0,,,NA,5,14,,,,Y,1
21_2,School of Humanities and Arts,Humanities Division,HUMA,201,2,10128,PUBLIC SPEAKING,LEC,3,"Worth, David S.",19,18,18,0,0,0,0,0,,,NA,18,1,,,,Y,1
21_2,School of Humanities and Arts,Jewish Studies,JWST,201,1,13128,GREAT BOOKS OF JEWISH CULTURE,LEC,3,"Farah, Daniella L.",19,9,9,0,0,0,0,0,,,NA,9,10,,,,Y,1
21_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,201,1,10646,INTERMEDIATE LATIN I: PROSE,LEC,3,"Somerville, Ted",12,8,8,0,0,0,0,0,L3,12,8,8,4,MDEM 211 001,10647,"Modern Classic Lang, Lit, Cult",Y,1
21_2,School of Humanities and Arts,Medical Humanities,MDHM,201,1,11940,INTRO TO MEDICAL HUMANITIES,SEM,3,"Li, Lan A.",85,63,63,0,0,0,0,0,,,NA,63,22,,,,Y,1
22_1,School of Humanities and Arts,Asian Studies,ASIA,201,1,25659,NONVIOLENCE: RELIGIOUS/SECULAR,LEC,3,"Bothra, Shivani",19,7,7,0,0,0,0,0,,,NA,7,12,,,,Y,2
22_1,School of Humanities and Arts,Humanities Division,HUMA,201,1,20272,PUBLIC SPEAKING,LEC,3,"Worth, David S.",16,14,13,0,0,0,0,1,,,NA,14,2,,,,Y,2
22_1,School of Humanities and Arts,Humanities Division,HUMA,201,2,20120,PUBLIC SPEAKING,LEC,3,"LaBove, Shannon D.",19,21,19,0,0,0,0,2,,,NA,21,-2,,,,Y,2
22_1,School of Humanities and Arts,Medical Humanities,MDHM,201,1,22026,INTRO TO MEDICAL HUMANITIES,SEM,3,"Alexander, Travis T.",75,74,73,0,0,0,0,1,,,NA,74,1,,,,Y,2
22_1,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,201,1,20199,"INTR LESBIAN, GAY, BISEX&TRAN",LEC,3,"McInerney, Randi T.",19,6,6,0,0,0,0,0,,,NA,6,13,,,,N,2
22_2,School of Humanities and Arts,Cinema and Media Studies,CMST,201,1,12973,HISTORY OF CINEMA AND MEDIA I,SEM,3,"Blumenthal-Barby, Martin",25,17,17,0,0,0,0,0,B3,25,20,20,5,GERM 280 001,12972,"Modern Classic Lang, Lit, Cult",Y,3
22_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,201,1,10936,INTERMEDIATE GREEK I: PROSE,LEC,3,"Mackie, Hilary S.",19,3,3,0,0,0,0,0,,,NA,3,16,,,,Y,3
22_2,School of Humanities and Arts,Humanities Division,HUMA,201,2,10118,PUBLIC SPEAKING,LEC,3,"Worth, David S.",19,18,18,0,0,0,0,0,,,NA,18,1,,,,Y,3
22_2,School of Humanities and Arts,Jewish Studies,JWST,201,1,12537,GREAT BOOKS OF JEWISH CULTURE,LEC,3,"Farah, Daniella L.",15,8,8,0,0,0,0,0,,,NA,8,7,,,,Y,3
22_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,201,1,10578,INTERMEDIATE LATIN I: PROSE,LEC,3,"Somerville, Ted",12,3,3,0,0,0,0,0,L3,12,4,4,8,MDEM 211 001,10579,"Modern Classic Lang, Lit, Cult",Y,3
22_2,School of Humanities and Arts,Medical Humanities,MDHM,201,1,11689,INTRO TO MEDICAL HUMANITIES,SEM,3,"Alexander, Travis T.",85,80,80,0,0,0,0,0,,,NA,80,5,,,,Y,3
23_1,School of Humanities and Arts,Environmental Studies,ENST,201,1,23861,CLIMATE CHANGE&EXTREME WEATHER,LEC,3,"Dee, Sylvia G.",100,5,5,0,0,0,0,0,A9,100,51,51,49,EEPS 107 001,23860,Environmental Studies,Y,4
23_1,School of Humanities and Arts,Humanities Division,HUMA,201,1,20204,PUBLIC SPEAKING,LEC,3,"Worth, David S.",16,15,14,0,0,0,0,1,,,NA,15,1,,,,Y,4
23_1,School of Humanities and Arts,Humanities Division,HUMA,201,2,20098,PUBLIC SPEAKING,LEC,3,"LaBove, Shannon D.",19,19,19,0,0,0,0,0,,,NA,19,0,,,,Y,4
23_1,School of Humanities and Arts,Medical Humanities,MDHM,201,1,21536,INTRO TO MEDICAL HUMANITIES,SEM,3,"Alexander, Travis T.",85,80,80,0,0,0,0,0,,,NA,80,5,,,,Y,4
23_1,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,201,1,20150,"INTR LESBIAN, GAY, BISEX&TRAN",LEC,3,"Cariani, Tesla",19,16,16,0,0,0,0,0,,,NA,16,3,,,,Y,4
23_2,School of Humanities and Arts,Cinema and Media Studies,CMST,201,1,12973,HISTORY OF CINEMA AND MEDIA I,SEM,3,"Blumenthal-Barby, Martin",25,19,19,0,0,0,0,0,B3,25,23,23,2,GERM 280 001,12972,"Modern Classic Lang, Lit, Cult",Y,5
23_2,School of Humanities and Arts,Humanities Division,HUMA,201,1,10118,PUBLIC SPEAKING,LEC,3,"Worth, David S.",19,18,18,0,0,0,0,0,,,NA,18,1,,,,Y,5
23_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,201,1,10578,INTERMEDIATE LATIN I: PROSE,LEC,3,"Somerville, Ted",12,9,9,0,0,0,0,0,L3,12,9,9,3,MDEM 211 001,10579,"Modern Classic Lang, Lit, Cult",Y,5
23_2,School of Humanities and Arts,Medical Humanities,MDHM,201,1,11689,INTRO TO MEDICAL HUMANITIES,SEM,3,"Alexander, Travis T.",85,83,83,0,0,0,0,0,,,NA,83,2,,,,Y,5
24_1,School of Humanities and Arts,Cinema and Media Studies,CMST,201,1,25209,HISTORY OF CINEMA AND MEDIA I,SEM,3,"Blumenthal-Barby, Martin",25,14,14,0,0,0,0,0,I4,25,14,14,11,GERM 280 001,25208,"Modern Classic Lang, Lit, Cult",Y,6
24_1,School of Humanities and Arts,Environmental Studies,ENST,201,1,23861,CLIMATE CHANGE&EXTREME WEATHER,LEC,3,"Dee, Sylvia G.",100,4,4,0,0,0,0,0,A9,100,43,43,57,EEPS 107 001,23860,Earth/Environmnt/Planetary Sci,N,6
24_1,School of Humanities and Arts,Humanities Division,HUMA,201,1,20204,PUBLIC SPEAKING,LEC,3,"Worth, David S.",18,16,16,0,0,0,0,0,,,NA,16,2,,,,Y,6
24_1,School of Humanities and Arts,Humanities Division,HUMA,201,2,20098,PUBLIC SPEAKING,LEC,3,"LaBove, Shannon D.",19,19,19,0,0,0,0,0,,,NA,19,0,,,,Y,6
24_1,School of Humanities and Arts,Medical Humanities,MDHM,201,1,21536,INTRO TO MEDICAL HUMANITIES,SEM,3,"Alexander, Travis T.",85,85,85,0,0,0,0,0,,,NA,85,0,,,,Y,6
24_1,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,201,1,20150,"INTR LESBIAN, GAY, BISEX&TRAN",LEC,3,"Oyarzun, Yesmar S.",20,6,6,0,0,0,0,0,,,NA,6,14,,,,Y,6
24_2,School of Humanities and Arts,Art History,HART,201,1,16697,ART AND ARCH OF ANCIENT ROME,LEC,3,"Crawford-Brown, Sophie A.",50,26,26,0,0,0,0,0,,,NA,26,24,,,,Y,7
24_2,School of Humanities and Arts,History,HIST,201,1,16748,JUDAISM OF JESUS AND HILLEL,LEC,3,"Henze, Matthias",99,6,6,0,0,0,0,0,I1,198,13,13,185,RELI 203 001,16747,Religion,Y,7
24_2,School of Humanities and Arts,Humanities Division,HUMA,201,1,10118,PUBLIC SPEAKING,LEC,3,"Worth, David S.",19,17,17,0,0,0,0,0,,,NA,17,2,,,,Y,7
24_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,201,1,10578,INTERMEDIATE LATIN I: PROSE,LEC,3,"Yunis, Harvey",12,3,3,0,0,0,0,0,L3,12,3,3,9,MDEM 211 001,10579,"Modern Classic Lang, Lit, Cult",Y,7
24_2,School of Humanities and Arts,Medical Humanities,MDHM,201,2,16879,INTRO TO MEDICAL HUMANITIES,SEM,3,"Shwetz, Katherine J.",75,72,72,0,0,0,0,0,,,NA,72,3,,,,Y,7
25_1,School of Humanities and Arts,Environmental Studies,ENST,201,1,23861,CLIMATE CHANGE&EXTREME WEATHER,LEC,3,"Dee, Sylvia G.",100,1,1,0,0,0,0,0,A9,100,24,24,76,EEPS 107 001,23860,Earth/Environmnt/Planetary Sci,Y,8
25_1,School of Humanities and Arts,Humanities Division,HUMA,201,1,20204,PUBLIC SPEAKING,LEC,3,"Worth, David S.",18,17,17,0,0,0,0,0,,,NA,17,1,,,,Y,8
25_1,School of Humanities and Arts,Medical Humanities,MDHM,201,1,21536,INTRO TO MEDICAL HUMANITIES,SEM,3,"Hemming, Matilda",85,76,76,0,0,0,0,0,,,NA,76,9,,,,Y,8
25_2,School of Humanities and Arts,Humanities Division,HUMA,201,1,10093,PUBLIC SPEAKING,LEC,3,"Worth, David S.",19,17,16,0,0,0,0,1,,,NA,17,2,,,,Y,9
25_2,School of Humanities and Arts,Humanities Division,HUMA,201,2,15681,PUBLIC SPEAKING,LEC,3,"Worth, David S.",5,21,21,0,0,0,0,0,,,NA,21,-16,,,,Y,9
25_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,201,2,15210,INTERMEDIATE LATIN I: PROSE,LEC,3,"Somerville, Ted",25,5,5,0,0,0,0,0,I1,25,5,5,20,MDEM 211 002,15323,"Modern Classic Lang, Lit, Cult",Y,9
25_2,School of Humanities and Arts,Medical Humanities,MDHM,201,2,13799,INTRO TO MEDICAL HUMANITIES,SEM,3,"Rashidbeigi, Samin",75,68,68,0,0,0,0,0,,,NA,68,7,,,,Y,9
25_2,School of Humanities and Arts,Media Studies,MDIA,201,1,15614,HISTORY OF CINEMA AND MEDIA I,SEM,3,"Blumenthal-Barby, Martin",30,9,9,0,0,0,0,0,H4,30,10,10,20,GERM 280 001,14659,"Modern Classic Lang, Lit, Cult",Y,9
21_2,School of Humanities and Arts,Art History,HART,202,1,13654,"MODERN ART IN EUROPE,1900-1945",SEM,3,"Hughes, Gordon A.",100,60,54,0,6,0,0,0,,,NA,60,40,,,,Y,1
22_1,School of Humanities and Arts,Cinema and Media Studies,CMST,202,1,24940,HISTORY OF CINEMA AND MEDIA II,LEC,3,"Oukaderova, Lida",30,31,29,0,1,0,1,0,,,NA,31,-1,,,,Y,2
22_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,202,2,25949,INTERMEDIATE GREEK,LEC,3,"Somerville, Ted",19,3,3,0,0,0,0,0,,,NA,3,16,,,,Y,2
22_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,202,1,22477,INTERMEDIATE LATIN II,LEC,3,"Somerville, Ted",19,8,8,0,0,0,0,0,C1,19,8,8,11,MDEM 212 001,22478,"Modern Classic Lang, Lit, Cult",Y,2
23_1,School of Humanities and Arts,Cinema and Media Studies,CMST,202,1,22801,HISTORY OF CINEMA AND MEDIA II,LEC,3,"Oukaderova, Lida",40,35,35,0,0,0,0,0,,,NA,35,5,,,,Y,4
23_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,202,3,24679,INTERMEDIATE GREEK,LEC,3,"Mackie, Hilary S.",19,2,2,0,0,0,0,0,,,NA,2,17,,,,Y,4
23_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,202,2,24844,INTERMEDIATE LATIN II,LEC,3,"Somerville, Ted",19,3,3,0,0,0,0,0,H8,19,3,3,16,MDEM 212 002,24845,"Modern Classic Lang, Lit, Cult",N,4
23_2,School of Humanities and Arts,Art History,HART,202,1,15638,"MODERN ART IN EUROPE,1900-1945",SEM,3,"Hughes, Gordon A.",100,74,74,0,0,0,0,0,,,NA,74,26,,,,Y,5
24_1,School of Humanities and Arts,Cinema and Media Studies,CMST,202,1,22801,HISTORY OF CINEMA AND MEDIA II,LEC,3,"Oukaderova, Lida",50,33,33,0,0,0,0,0,,,NA,33,17,,,,N,6
24_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,202,2,24844,INTERMEDIATE LATIN II,LEC,3,"Somerville, Ted",25,9,9,0,0,0,0,0,H8,25,9,9,16,MDEM 212 002,24845,"Modern Classic Lang, Lit, Cult",Y,6
24_2,School of Humanities and Arts,Cinema and Media Studies,CMST,202,1,17008,HISTORY OF CINEMA AND MEDIA II,LEC,3,"O'Malley, Hayley",50,23,22,0,0,0,1,0,,,NA,23,27,,,,Y,7
25_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,202,2,24844,INTERMEDIATE LATIN II,LEC,3,"Somerville, Ted",25,3,3,0,0,0,0,0,H8,25,3,3,22,MDEM 212 002,24845,"Modern Classic Lang, Lit, Cult",Y,8
21_2,School of Humanities and Arts,Cinema and Media Studies,CMST,203,1,13643,INTRODUCTION TO FILM ANALYSIS,LEC,3,"Oukaderova, Lida",30,32,31,0,0,0,1,0,,,NA,32,-2,,,,Y,1
21_2,School of Humanities and Arts,English and Creative Writing,ENGL,203,1,13706,CONFESSIONAL WRITING,SEM,3,"Bajani, Andrea",16,15,15,0,0,0,0,0,,,NA,15,1,,,,Y,1
21_2,School of Humanities and Arts,English and Creative Writing,ENGL,203,2,13707,NARRATIVE MEDICINE,SEM,3,"Morin, Tomas Q.",16,11,11,0,0,0,0,0,,,NA,11,5,,,,Y,1
22_1,School of Humanities and Arts,English and Creative Writing,ENGL,203,1,25537,"SEX, DEATH & SPIRITUAL WRITING",SEM,3,"Hammon, Cameron D.",16,15,15,0,0,0,0,0,,,NA,15,1,,,,Y,2
22_2,School of Humanities and Arts,Cinema and Media Studies,CMST,203,1,12845,INTRODUCTION TO FILM ANALYSIS,LEC,3,"Oukaderova, Lida",30,25,25,0,0,0,0,0,,,NA,25,5,,,,Y,3
23_2,School of Humanities and Arts,Cinema and Media Studies,CMST,203,1,12845,INTRODUCTION TO FILM ANALYSIS,LEC,3,"Oukaderova, Lida",30,26,26,0,0,0,0,0,,,NA,26,4,,,,N,5
23_2,School of Humanities and Arts,Art History,HART,203,1,15623,GLOBAL MODERNISM,LEC,3,"Lopez Duran, Maria Fabiola; Hughes, Gordon A.",100,29,29,0,0,0,0,0,,,NA,29,71,,,,Y,5
24_1,School of Humanities and Arts,English and Creative Writing,ENGL,203,1,25079,WRITING THE FAMILY,SEM,3,"Bajani, Andrea",10,9,9,0,0,0,0,0,ZJ,16,15,15,1,ENGL 203 002,25612,English and Creative Writing,N,6
